Workload,Records,Threads,Latency_s,CPU_Util_Percent,Memory_MB
native_st,1000,1,.237,105%,15.62
native_mt,1000,5,.217,165%,15.00
native_mt,10000,5,.978,166%,35.78
native_st,10000,1,1.433,100%,35.91
native_st,10000,1,1.471,100%,34.55
native_mt,10000,5,.382,428%,28.84
native_st,10000,1,1.932,483%,46.02
native_mt,10000,5,.578,1322%,36.47
native_mt,10000,5,.517,1477%,36.55
native_st,10000,1,1.601,583%,46.61
native_st,10000,1,1.820,524%,46.68
native_mt,10000,5,.540,1428%,36.54
native_st,100000,1,16.520,146%,274.75
native_mt,100000,5,3.672,624%,247.53
